trial_id,scenario,scenario_seed,num_uav,method,assignment,total_path_length,avg_path_length,xy_crossings,proximity_crossings,min_distance,safety_cost,safety_violation_count,critical_violation_count,arrival_time_variance,failed_assignment,critical_failed_assignment,total_cost,compute_time_ms
65,large,914181470,8,hungarian_distance,"[6,7,0,2,1,5,4,3]",22.063622,2.757953,0,0,2.649552,0.000000,0,0,3.398576,0,0,22.063622,0.013525
65,large,914181470,8,hungarian_crossing_penalty,"[6,7,0,2,1,5,4,3]",22.063622,2.757953,0,0,2.649552,0.000000,0,0,3.398576,0,0,22.063622,27.580836
65,large,914181470,8,safety_aware_local_swap,"[6,7,0,2,1,5,4,3]",22.063622,2.757953,0,0,2.649552,0.000000,0,0,3.398576,0,0,22.063622,27.678240
66,large,21953634,8,random,"[5,1,3,4,2,7,6,0]",52.666462,6.583308,5,4,0.180716,9.086434,114,70,13.217832,1,1,151.752896,0.004749
66,large,21953634,8,nearest_neighbor,"[1,0,4,3,2,5,6,7]",34.891287,4.361411,1,1,0.260940,3.817670,64,44,4.373344,1,1,58.708957,0.068499
66,large,21953634,8,hungarian_distance,"[1,7,4,3,0,2,6,5]",21.775808,2.721976,0,0,2.438672,0.000000,0,0,0.756907,0,0,21.775808,0.013365
66,large,21953634,8,hungarian_crossing_penalty,"[1,7,4,3,0,2,6,5]",21.775808,2.721976,0,0,2.438672,0.000000,0,0,0.756907,0,0,21.775808,27.468816
66,large,21953634,8,safety_aware_local_swap,"[1,7,4,3,0,2,6,5]",21.775808,2.721976,0,0,2.438672,0.000000,0,0,0.756907,0,0,21.775808,27.504203
67,large,2012228713,8,random,"[6,1,7,0,4,3,2,5]",61.960907,7.745113,9,5,0.286662,7.074526,110,63,8.762227,1,1,209.035433,0.004749
67,large,2012228713,8,nearest_neighbor,"[4,3,5,0,1,6,7,2]",25.454613,3.181827,0,1,1.752266,0.570364,22,0,10.753593,1,0,36.024977,0.067176
67,large,2012228713,8,hungarian_distance,"[4,3,5,0,1,6,2,7]",24.471574,3.058947,0,0,2.487880,0.000000,0,0,8.282949,0,0,24.471574,0.013566
67,large,2012228713,8,hungarian_crossing_penalty,"[4,3,5,0,1,6,2,7]",24.471574,3.058947,0,0,2.487880,0.000000,0,0,8.282949,0,0,24.471574,27.573412
67,large,2012228713,8,safety_aware_local_swap,"[4,3,5,0,1,6,2,7]",24.471574,3.058947,0,0,2.487880,0.000000,0,0,8.282949,0,0,24.471574,27.618527
68,large,1980321799,8,random,"[4,5,2,0,1,6,3,7]",49.577126,6.197141,4,6,0.579225,6.315235,203,121,13.543643,1,1,155.892361,0.004709
